Year,Month,10u,10v,2d,2t,evabs,evaow,evatc,evavt,albedo,lshf,lai_hv,lai_lv,pev,ro,src,skt,es,stl1,stl2,stl3,stl4,ssro,slhf,ssr,str,sp,sro,sshf,ssrd,strd,e,tp,swvl1,swvl2,swvl3,swvl4,Transformed_Latitude,Transformed_Longitude,Month_Year,lat_lon,Month_Year_lat_lon
2019,1,-1.00685,-0.714544,293.502,297.417,-0.00248937,-0.00103137,-0.000989199,-3.44589e-08,0.173221,0.650001,4.6532,1.83179,-0.0119892,0.000732847,0.000156119,297.997,0.0,298.603,298.523,298.289,297.74,4.5795e-05,-11278500,17200800,-2832560,93281.6,0.000687052,-3023910,20804400,35736900,-0.00450997,0.00665523,0.346542,0.335724,0.264359,0.300018,-8.57424,68.23761,1_2019,-8.57424_68.23761,1_2019_-8.57424_68.23761
2019,2,-1.40856,-0.662555,292.943,297.978,-0.00255649,-0.00107584,-0.000733756,-3.81842e-08,0.173808,0.650001,4.69336,1.86926,-0.0148293,0.00012964,8.87215e-05,298.747,0.0,299.313,299.147,298.695,298.043,3.18959e-05,-10918800,18471600,-3363790,93276.6,9.77479e-05,-4069570,22357700,35563400,-0.00436612,0.00320109,0.254517,0.259918,0.281769,0.296188,-8.57424,68.23761,2_2019,-8.57424_68.23761,2_2019_-8.57424_68.23761
2019,3,-0.89211,-0.449448,293.25,297.989,-0.00253468,-0.000979745,-0.000713339,-3.67872e-08,0.178823,0.650001,4.70898,1.88391,-0.0138824,0.000381522,0.000121534,298.86,0.0,299.53,299.447,299.179,298.451,2.71872e-05,-10572900,18304800,-3516510,93255.8,0.000354335,-4169910,22291000,35467300,-0.0042278,0.00468226,0.278152,0.284195,0.261597,0.291672,-8.57424,68.23761,3_2019,-8.57424_68.23761,3_2019_-8.57424_68.23761
2019,4,-0.392348,0.384925,293.934,296.542,-0.00174829,-0.000657683,-0.00134293,-2.70084e-08,0.180959,0.650017,4.77283,1.94531,-0.00821923,0.000922255,0.000233501,297.1,2.32831e-10,297.811,297.933,298.283,298.588,2.47099e-05,-9375320,13806700,-2404380,93336.3,0.000897542,-2148780,16857400,35712800,-0.00374893,0.00751829,0.385513,0.378616,0.309784,0.288925,-8.57424,68.23761,4_2019,-8.57424_68.23761,4_2019_-8.57424_68.23761
2019,5,-0.447104,0.581028,292.571,294.726,-0.0013742,-0.000462385,-0.00113879,-2.04891e-08,0.182375,0.650009,4.79968,1.97473,-0.00598306,0.000712052,0.000253111,295.07,0.0,295.789,296.044,296.812,298.102,8.57301e-05,-7440870,10437000,-2010550,93536.6,0.000626326,-1242840,12764000,35080400,-0.0029754,0.00598935,0.397659,0.400055,0.392654,0.309311,-8.57424,68.23761,5_2019,-8.57424_68.23761,5_2019_-8.57424_68.23761
2019,6,-0.182405,1.03021,288.614,294.004,-0.00229155,-0.000760709,-0.000214649,-2.79397e-08,0.180208,0.650009,4.69702,1.8772,-0.0115059,0.000109345,3.55244e-05,294.2,0.0,294.922,295.157,295.844,297.222,0.000103485,-8169960,14842200,-4517900,93688.9,5.85616e-06,-2340520,18105100,32039500,-0.00326694,0.000543551,0.244125,0.281982,0.3405,0.325882,-8.57424,68.23761,6_2019,-8.57424_68.23761,6_2019_-8.57424_68.23761
2019,7,-0.579932,0.883632,287.886,294.156,-0.00161699,-0.000536442,-0.000248238,-2.70084e-08,0.175974,0.650314,4.54736,1.72839,-0.0130743,9.22829e-05,2.98768e-05,294.882,0.0,295.486,295.565,295.839,296.586,8.71494e-05,-6006180,14571900,-4614710,93697.7,5.13345e-06,-3999650,17683200,32250900,-0.0024017,0.000656757,0.163803,0.210556,0.286224,0.321747,-8.57424,68.23761,7_2019,-8.57424_68.23761,7_2019_-8.57424_68.23761
2019,8,-1.07103,0.690661,287.776,295.254,-0.0013227,-0.000333589,-0.000147296,-3.07336e-08,0.172197,0.650009,4.42786,1.61401,-0.0159379,6.90594e-05,1.71512e-05,296.495,2.32831e-10,297.008,296.826,296.449,296.343,6.65523e-05,-4510480,15401900,-4755430,93768.6,2.5034e-06,-6024960,18605200,32916600,-0.00180362,0.000412595,0.128983,0.172729,0.247986,0.314774,-8.57424,68.23761,8_2019,-8.57424_68.23761,8_2019_-8.57424_68.23761
2019,9,-1.36438,0.441586,288.717,296.089,-0.00105136,-0.000352736,-0.000226062,-3.35276e-08,0.170444,0.650001,4.3385,1.54053,-0.0171764,5.21317e-05,2.92659e-05,297.635,0.0,298.151,297.909,297.349,296.604,4.90099e-05,-4076780,16051200,-4525510,93620.5,3.11434e-06,-7305560,19348600,33749800,-0.00163019,0.00061541,0.127365,0.154114,0.221085,0.306778,-8.57424,68.23761,9_2019,-8.57424_68.23761,9_2019_-8.57424_68.23761
2019,10,-1.05262,0.273049,292.342,295.219,-0.00156964,-0.000717609,-0.00117392,-2.70084e-08,0.171584,0.650001,4.34143,1.54285,-0.00925507,0.000610761,0.000198334,295.838,0.0,296.505,296.586,296.783,296.842,4.00916e-05,-8655780,14203300,-2459050,93397.7,0.000570673,-3166800,17145400,35014000,-0.0034612,0.00773916,0.352219,0.328003,0.272598,0.301025,-8.57424,68.23761,10_2019,-8.57424_68.23761,10_2019_-8.57424_68.23761
